Id,Source,Target,Type,Weight
10786,9614,9535,directed,1
10787,9615,9259,directed,1
10788,9617,9616,directed,1
10789,9618,9309,directed,1
10790,9620,9619,directed,1
10791,9621,9365,directed,1
10792,9623,9622,directed,1
10793,9624,9535,directed,1
10794,9626,9625,directed,1
10795,9628,9627,directed,1
10796,9630,9629,directed,1
10797,9632,9631,directed,1
10798,9632,9633,directed,1
10799,9634,9566,directed,1
10800,9636,9635,directed,1
10801,9638,9637,directed,1
10802,9640,9639,directed,1
10803,9641,9635,directed,1
10804,9642,9637,directed,1
10805,9644,9643,directed,1
10806,9645,9259,directed,1
10807,9646,9637,directed,1
10808,9648,9647,directed,1
10809,9650,9649,directed,1
10810,9651,9622,directed,1
10811,9653,9652,directed,1
10812,9654,9516,directed,1
10813,9655,9516,directed,1
10814,9656,9505,directed,1
10815,9658,9657,directed,1
10816,9659,9537,directed,1
10817,9661,9660,directed,1
10818,9663,9662,directed,1
10819,9664,9537,directed,1
10820,9666,9665,directed,1
10821,9668,9667,directed,1
10822,9669,9667,directed,1
10823,9670,9360,directed,1
10824,9672,9671,directed,1
10825,9673,9362,directed,1
10826,9675,9674,directed,1
10827,9677,9676,directed,1
10828,9678,9635,directed,1
10829,9680,9679,directed,1
10830,9682,9681,directed,1
10831,9684,9683,directed,1
10832,9685,9683,directed,1
10833,9685,9681,directed,1
10834,9686,9597,directed,1
10835,9688,9687,directed,1
10836,9690,9689,directed,1
10837,9692,9691,directed,1
10838,9694,9693,directed,1
10839,9696,9695,directed,1
10840,9697,9695,directed,1
10841,9698,9516,directed,1
10842,9700,9699,directed,1
10843,9702,9701,directed,1
10844,9703,9505,directed,1
10845,9705,9704,directed,1
10846,9707,9706,directed,1
10847,9708,9523,directed,1
10848,9710,9709,directed,1
10849,9711,9480,directed,1
10850,9712,9480,directed,1
10851,9714,9713,directed,1
10852,9715,9393,directed,1
10853,9717,9716,directed,1
10854,9718,9667,directed,1
10855,9720,9719,directed,1
10856,9721,9551,directed,1
10857,9722,9551,directed,1
10858,9723,9360,directed,1
10859,9724,9362,directed,1
10860,9725,9559,directed,1
10861,9726,9559,directed,1
10862,9728,9727,directed,1
10863,9730,9729,directed,1
10864,9732,9731,directed,1
10865,9734,9733,directed,1
10866,9735,9733,directed,1
10867,9736,9733,directed,1
10868,9737,9733,directed,1
10869,9739,9738,directed,1
10870,9741,9740,directed,1
10871,9742,9568,directed,1
10872,9744,9743,directed,1
10873,9746,9745,directed,1
10874,9748,9747,directed,1
10875,9749,9691,directed,1
10876,9750,9693,directed,1
10877,9751,9740,directed,1
10878,9750,9752,directed,1
10879,9753,9740,directed,1
10880,9755,9754,directed,1
10881,9756,9480,directed,1
10882,9757,9480,directed,1
10883,9759,9758,directed,1
10884,9760,9480,directed,1
10885,9762,9761,directed,1
10886,9763,9555,directed,1
10887,9764,9627,directed,1
10888,9765,9549,directed,1
10889,9767,9766,directed,1
10890,9769,9768,directed,1
10891,9771,9770,directed,1
10892,9773,9772,directed,1
10893,9774,9505,directed,1
10894,9776,9775,directed,1
10895,9778,9777,directed,1
10896,9779,9259,directed,1
10897,9781,9780,directed,1
10898,9783,9782,directed,1
10899,9785,9784,directed,1
10900,9787,9786,directed,1
10901,9788,9786,directed,1
10902,9789,9456,directed,1
10903,9790,9786,directed,1
10904,9791,9360,directed,1
10905,9792,9309,directed,1
10906,9793,9786,directed,1
10907,9794,9360,directed,1
10908,9795,9282,directed,1
10909,9797,9796,directed,1
10910,9799,9798,directed,1
10911,9801,9800,directed,1
10912,9803,9802,directed,1
10913,9805,9804,directed,1
10914,9807,9806,directed,1
10915,9809,9808,directed,1
10916,9811,9810,directed,1
10917,9813,9812,directed,1
10918,9814,9309,directed,1
10919,9816,9815,directed,1
10920,9818,9817,directed,1
10921,9820,9819,directed,1
10922,9822,9821,directed,1
10923,9823,9259,directed,1
10924,9824,9804,directed,1
10925,9826,9825,directed,1
10926,9827,9825,directed,1
10927,9829,9828,directed,1
10928,9830,9819,directed,1
10929,9832,9831,directed,1
10930,9834,9833,directed,1
10931,9835,9259,directed,1
10932,9836,9731,directed,1
10933,9837,9731,directed,1
10934,9838,9731,directed,1
10935,9839,9282,directed,1
