Id,Source,Target,Type,Weight
12574,11690,11448,directed,1
12575,11691,11448,directed,1
12576,11692,11448,directed,1
12577,11693,11448,directed,1
12578,11694,11450,directed,1
12579,11695,11450,directed,1
12580,11696,11453,directed,1
12581,11697,11453,directed,1
12582,11698,11453,directed,1
12583,11699,11458,directed,1
12584,11700,11461,directed,1
12585,11701,11461,directed,1
12586,11701,11465,directed,1
12587,11702,11465,directed,1
12588,11703,11473,directed,1
12589,11704,11473,directed,1
12590,11705,11479,directed,1
12591,11706,11479,directed,1
12592,11707,11489,directed,1
12593,11708,11492,directed,1
12594,11709,11492,directed,1
12595,11710,11682,directed,1
12596,11712,11711,directed,1
12597,11713,11711,directed,1
12598,11714,11711,directed,1
12599,11715,11494,directed,1
12600,11716,11494,directed,1
12601,11717,11494,directed,1
12602,11718,11496,directed,1
12603,11719,11441,directed,1
12604,11720,11441,directed,1
12605,11721,11441,directed,1
12606,11722,11443,directed,1
12607,11723,11443,directed,1
12608,11724,11448,directed,1
12609,11725,11450,directed,1
12610,11726,11450,directed,1
12611,11727,11453,directed,1
12612,11728,11453,directed,1
12613,11729,11453,directed,1
12614,11730,11458,directed,1
12615,11731,11461,directed,1
12616,11732,11503,directed,1
12617,11733,11489,directed,1
12618,11734,11679,directed,1
12619,11735,11679,directed,1
12620,11736,11679,directed,1
12621,11736,11679,directed,1
12622,11737,11682,directed,1
12623,11738,11521,directed,1
12624,11739,11521,directed,1
12625,11741,11740,directed,1
12626,11742,11740,directed,1
12627,11744,11743,directed,1
12628,11745,11743,directed,1
12629,11746,11494,directed,1
12630,11747,11496,directed,1
12631,11748,11496,directed,1
12632,11749,11496,directed,1
12633,11750,11441,directed,1
12634,11751,11441,directed,1
12635,11752,11441,directed,1
12636,11753,11443,directed,1
12637,11754,11448,directed,1
12638,11755,11448,directed,1
12639,11756,11448,directed,1
12640,11757,11450,directed,1
12641,11758,11450,directed,1
12642,11759,11450,directed,1
12643,11760,11450,directed,1
12644,11761,11453,directed,1
12645,11762,11453,directed,1
12646,11763,11453,directed,1
12647,11764,11453,directed,1
12648,11765,11458,directed,1
12649,11766,11458,directed,1
12650,11767,11465,directed,1
12651,11768,11467,directed,1
12652,11769,11479,directed,1
12653,11770,11481,directed,1
12654,11771,11481,directed,1
12655,11772,11489,directed,1
12656,11773,11489,directed,1
12657,11774,11679,directed,1
12658,11775,11492,directed,1
12659,11776,11492,directed,1
12660,11777,11492,directed,1
12661,11778,11492,directed,1
12662,11779,11682,directed,1
12663,11780,11740,directed,1
12664,11781,11740,directed,1
12665,11782,11740,directed,1
12666,11781,11783,directed,1
12667,11784,11783,directed,1
12668,11785,11711,directed,1
12669,11786,11496,directed,1
12670,11787,11496,directed,1
12671,11788,11441,directed,1
12672,11789,11443,directed,1
12673,11790,11450,directed,1
12674,11791,11453,directed,1
12675,11792,11458,directed,1
12676,11793,11458,directed,1
12677,11794,11479,directed,1
12678,11796,11795,directed,1
12679,11797,11494,directed,1
12680,11798,11496,directed,1
12681,11799,11496,directed,1
12682,11800,11441,directed,1
12683,11801,11441,directed,1
12684,11802,11441,directed,1
12685,11803,11443,directed,1
12686,11804,11443,directed,1
12687,11805,11443,directed,1
12688,11806,11448,directed,1
12689,11807,11450,directed,1
12690,11808,11453,directed,1
12691,11809,11453,directed,1
12692,11810,11453,directed,1
12693,11811,11453,directed,1
12694,11812,11458,directed,1
12695,11813,11458,directed,1
12696,11814,11458,directed,1
12697,11815,11458,directed,1
12698,11816,11461,directed,1
12699,11817,11461,directed,1
12700,11818,11461,directed,1
12701,11819,11461,directed,1
12702,11820,11465,directed,1
12703,11821,11465,directed,1
12704,11822,11465,directed,1
12705,11823,11465,directed,1
12706,11824,11465,directed,1
12707,11825,11465,directed,1
12708,11826,11503,directed,1
12709,11827,11503,directed,1
12710,11828,11503,directed,1
12711,11829,11467,directed,1
12712,11830,11467,directed,1
12713,11831,11473,directed,1
12714,11832,11473,directed,1
12715,11833,11473,directed,1
12716,11834,11473,directed,1
12717,11835,11473,directed,1
12718,11836,11479,directed,1
12719,11837,11479,directed,1
12720,11838,11479,directed,1
12721,11839,11479,directed,1
12722,11840,11479,directed,1
12723,11841,11479,directed,1
12724,11842,11481,directed,1
12725,11843,11484,directed,1
12726,11844,11484,directed,1
12727,11845,11489,directed,1
12728,11846,11679,directed,1
12729,11847,11492,directed,1
12730,11848,11682,directed,1
12731,11849,11740,directed,1
12732,11850,11740,directed,1
12733,11851,11740,directed,1
12734,11852,11783,directed,1
12735,11853,11783,directed,1
12736,11854,11783,directed,1
12737,11855,11783,directed,1
12738,11856,11783,directed,1
12739,11857,11711,directed,1
12740,11858,11711,directed,1
12741,11859,11711,directed,1
12742,11860,11711,directed,1
12743,11862,11861,directed,1
12744,11863,11795,directed,1
12745,11864,11795,directed,1
12746,11865,11679,directed,1
12747,11866,11494,directed,1
12748,11867,11494,directed,1
12749,11868,11494,directed,1
12750,11869,11443,directed,1
12751,11870,11443,directed,1
12752,11871,11443,directed,1
12753,11872,11450,directed,1
12754,11873,11450,directed,1
12755,11874,11453,directed,1
12756,11875,11458,directed,1
12757,11876,11479,directed,1
12758,11877,11679,directed,1
12759,11878,11492,directed,1
12760,11879,11494,directed,1
12761,11880,11494,directed,1
12762,11881,11496,directed,1
12763,11882,11496,directed,1
12764,11883,11443,directed,1
12765,11884,11443,directed,1
12766,11885,11448,directed,1
12767,11886,11453,directed,1
12768,11887,11458,directed,1
12769,11888,11458,directed,1
12770,11889,11494,directed,1
12771,11890,11450,directed,1
12772,11891,11450,directed,1
12773,11892,11453,directed,1
12774,11893,11458,directed,1
12775,11894,11682,directed,1
12776,11895,11521,directed,1
12777,11896,11740,directed,1
12778,11897,11783,directed,1
12779,11898,11783,directed,1
12780,11899,11494,directed,1
12781,11900,11494,directed,1
12782,11901,11496,directed,1
12783,11902,11441,directed,1
12784,11903,11441,directed,1
12785,11904,11443,directed,1
12786,11905,11458,directed,1
12787,11906,11496,directed,1
12788,11907,11441,directed,1
12789,11908,11443,directed,1
12790,11909,11450,directed,1
12791,11910,11450,directed,1
12792,11911,11450,directed,1
12793,11912,11453,directed,1
12794,11913,11443,directed,1
12795,11914,11441,directed,1
12796,11915,11443,directed,1
12797,11916,11443,directed,1
12798,11917,11461,directed,1
12799,11918,11453,directed,1
12800,11919,11494,directed,1
12801,11920,11496,directed,1
12802,11921,11496,directed,1
12803,11922,11441,directed,1
12804,11923,11448,directed,1
12805,11924,11450,directed,1
12806,11925,11467,directed,1
12807,11926,11453,directed,1
