Id,name,node_type,department,faculty
11671,capsule-based user interface modeling for large-scale applications,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11672,a classification and comparison of data mining algorithms for wireless sensor networks,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11673,towards understanding of classes versus data types in conceptual modeling and uml,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11674,on the semantics of associations and association ends in uml,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11675,control flow regeneration for software pipelined loops with conditions,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11676,automatic model transformations using extended uml object diagrams in modeling environments,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11677,domain mapping using extended uml object diagrams,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11678,research and development in e-business on the internet,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11679,2000,year,set(),set()
11680,sources of parallelism in software pipelining loops with conditional branches,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11681,socratenon - a web-based training system with an intellect,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11682,1998,year,set(),set()
11683,predicated software pipelining technique for loops with conditions,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11684,a tree-driven multiple-rate model of time measuring in object-oriented real-time systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11685,formal model of software pipelining loops with conditions,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11686,fpga accelerator for floating-point matrix multiplication,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11687,explanation of performance degradation in turn model,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11688,evaluation of simulators for teaching computer networks,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11689,coala - system for visual representationof cryptography algorithms,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11690,reengineering the sleep simulator in a concurrent and distributed programming course,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11691,bridging user context and design models to build adaptive user interfaces,publication,"{'katedra za informacione tehnologije', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11692,reusable design of data visualization software architecture for unmanned aerial vehicles,publication,"{'katedra za informacione tehnologije', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11693,flow-based anomaly intrusion detection system using two neural network stages,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11694,computer network simulation and visualization tool for educational purpose,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11695,languages for model-driven development of user interfaces: review of the state of the art,publication,"{'katedra za informacione tehnologije', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11696,an accurate performance model for network-on-chip and multicomputer interconnection networks,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11697,web laboratory for computer network,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11698,formal specification of usability measures in model-driven development of context-sensitive user interfaces,publication,"{'katedra za informacione tehnologije', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11699,a comparison and security analysis of the cloud computing software platforms,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11700,improving design of ground control station for unmanned aerial vehicle: borrowing from design patterns,publication,"{'katedra za informacione tehnologije', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11701,software support for ground control station for unmanned aerial vehicle,publication,"{'katedra za informacione tehnologije', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11702,wnetsim: a web-based computer network simulator,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11703,java cryptography &amp; attribute certificate management,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11704,web-based grid-enabled interaction with 3d medical data,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11705,modeling distributed system entities which communicate asynchronous via message passing in java,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11706,java cryptography &amp; x.509 authentication,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11707,a heuristic algorithm for dynamic task scheduling in highly parallel computing systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11708,interactive visualization of 3d fields and images on inexpensive workstations using vrml,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11709,dynamic task scheduling with precedence constraints and communication delays,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11710,visualization of 3d fields and medical data and using vrml,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11711,1994,year,set(),set()
11712,communication aspects of the star graph interconnection network,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11713,fault tolerance of the star graph interconnection network,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11714,routing function and deadlock avoidance in a star graph interconnection network,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11715,prototype implementation of segment assembling software,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11716,improving source code plagiarism detection: lessons learned,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11717,identity provider deployment based on container technology,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11718,parallelization of gst algorithm for source code similarity detection [paralelizacija gst algoritama za detekciju slicnosti u programskom kodu],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11719,a modified hill-climbing algorithm for knowledge test assembly based on classified criteria,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11720,a comparison of software tools for plagiarism detection in programming assignments,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11721,web performance evaluation for internet of things applications,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11722,an analysis of scientific publications from serbia: the case of computer science,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11723,automating the knowledge assessment workflow for large student groups: a development experience,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11724,a survey and classifcation of wireless sensor networks simulators based on the domain of use,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11725,intelligent crawler for web forums based on improved regular expressions,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11726,remote control of industrial robot lola 50 using wireless communication and android device [udaljeno upravljanje industrijskim robotom lola 50 upotrebom wireless komunikacije i android uredaja],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11727,"a software tool that helps teachers in handling, processing and understanding the results of massive exams",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11728,once upon a pocket: programmable calculators from the late 1970s and early 1980s and the social networks around them,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11729,topic models and advanced algorithms for profiling of knowledge in scientific papers,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11730,self-similar cross-traffic analysis as a foundation for choosing among active available bandwidth measurement strategies,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11731,development of electronic forms and a java parser for processing data about university teaching stuff in accreditation process,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11732,the book cipher algorithm,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11733,test: tools for evaluation of students' tests - a development experience,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11734,comparison of three protocols for entry consistency maintenance based on mva algorithm,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11735,a comparison of three protocols for entry consistency maintenance based on mva algorithm,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11736,scowl: a tool for characterization of parallel workload and its use on splash-2 application suite,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11737,approach to characterization of parallel applications for dsm systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11738,reflective memory system based on a grid of buses that selectively uses relaxed memory consistency models,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11739,effects of user behavior and internet provider policy on the accessibility of sezampro on-line system,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11740,1996,year,set(),set()
11741,memory consistency models for shared memory multiprocessors and dsm systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11742,distributed shared memory: concepts and systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11743,1993,year,set(),set()
11744,an example of the efficient message protocol for industrial lan,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11745,cisc versus risc processors for graphics: a simulation study,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11746,improving schema issue advisor in the azure sql database,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11747,low-level implementation of the sisc protocol for thread-level speculation on a multi-core architecture,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11748,extending valgrind framework with the mips msa support,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11749,speeding up ip lookup procedure in software routers by means of parallelization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11750,interconnection networks in petascale computer systems: a survey,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11751,gpu-based implementation of reverb effect,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11752,analysis of cpu and gpu implementations of convolution reverb effect,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11753,graphical processing unit-based parallelization of the open shortest path first and border gateway protocol routing protocols,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11754,register-level communication in speculative chip multiprocessors,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11755,manual parallelization versus state-of-the-art parallelization techniques: the spec cpu2006 as a case study,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11756,automated multi-platform testing and code coverage analysis of the cp2k application,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11757,an analysis of chain characteristics in the cryptanalytic tmto method,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11758,evaluation and analysis of an on-line error detection monitoring technique,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11759,use case analysis of openacc directives in the implementation of image processing algorithms [analiza primene openacc direktiva u implementaciji algoritama za obradu slike],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11760,parallelizing general histogram application for cuda architectures,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11761,balancing between time and memory requirements in cryptanalysis [kompromis izmedu memorijskih i vremenskih zahteva u kriptoanalitickim postupcima],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11762,application of graphics processing units in audio signal processing [primena grafickih procesora u obradi zvucnih signala],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11763,comparative performance evaluation of the avl and red-black trees,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11764,evolution and trends in gpu computing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11765,gpu-based paralelization of the bgp protocol [paralelizacija izbora najboljih ruta u bgp protokolu pomocu grafickog procesora],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11766,data sorting using graphics processing units [sortiranje podataka koriscenjem grafickih procesorskih jedinica],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11767,a simulation environment for the on-line monitoring of a fault tolerant flight control computer,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11768,towards an improved integrated coherence and speculation protocol,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11769,an aggressive register-level communication in a speculative chip multiprocessor,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11770,an improved on-line monitoring technique for a fault-tolerant computing node,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11771,improving performance of a dsm system by the communication controller optimizations,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11772,multithreaded communication controller for efficient dsm multiprocessors,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11773,the impact of out-of-order message delivery on cache coherence protocols,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11774,an overview of microwave resonance therapy and eeg correlates of microwave resonance relaxation and other consciousness altering techniques,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11775,hardware implementation of the mechanism of multiprocessing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11776,the interactive development and testing system for a risc-style processor,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11777,risc-style hardware accelerator for operating systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11778,"electroencephalographic (eeg) correlates of some activities which may alter consciousness: the transcendental meditation technique, musicogenic states, microwave resonance relaxation, healer/healee interaction, and alertness/drowsiness",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11779,an operating system accelerator,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11780,new cache architecture concept: the split temporal/spatial cache,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11781,simulation study of hardware-oriented dsm approaches,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11782,the word-invalidate cache coherence protocol,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11783,1995,year,set(),set()
11784,improved rms for the pc environment,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11785,"hardware approaches to cache coherence in shared-memory multiprocessors, part 1",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11786,a streaming dataflow implementation of parallel cocke–younger–kasami parser,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11787,dataflow-based parallelization of control-flow algorithms,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11788,multipurpose time recursive phase locked loop,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11789,an overview of selected heterogeneous and reconfigurable architectures,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11790,effect of ict on the social dimension of short-term and long-term alignment of the participants in the construction of a knowledge society,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11791,an overview of selected hybrid and reconfigurable architectures,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11792,principal risk in implementation of a sophisticated erp system at a higher education institutions,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11793,advice-educational system for teaching database courses,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11794,mobilepdr: a mobile medical information system featuring update via internet,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11795,1989,year,set(),set()
11796,hardware support to operations of relational algebra.,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11797,using the linked data approach in european e-government systems: example from serbia,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11798,citizen-centric linked data apps for emergency response systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11799,big data and quality: a literature review,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11800,exploratory spatio-temporal analysis of linked statistical data,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11801,combined energy hub optimisation and demand side management for buildings,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11802,proposal for implementing the eu psi directive in serbia,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11803,ontology-based facility data model for energy management,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11804,energy hub modelling and optimisation: an analytical case-study,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11805,smart-phone application for autonomous indoor positioning,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11806,situation awareness and decision support tools for response phase of emergency management: a short survey,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11807,main challenges in using lod in emergency management,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11808,linked open data infrastructure for public sector information: example from serbia,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11809,dynamic workflows for airport emergency management training,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11810,integrating serbian public data into the lod cloud,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11811,representation of texts in structured form,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11812,application of complex event processing paradigm in situation awareness and management,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11813,ontology enabled decision support system for emergency management at airports,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11814,ontology-based competency management: the case study of the mihajlo pupin institute,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11815,applicability assessment of semantic web technologies,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11816,automatic extraction of ict competences from unstructured sources,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11817,applicability assessment of semantic web technologies in human resources domain,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11818,green accounting for greener energy,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11819,nimfa - natural language implicit meaning formalization and abstraction,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11820,maturity and applicability assessment of semantic web technologies,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11821,semantic web based integration of knowledge resources for expertise finding,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11822,probabilistic semantic classifier,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11823,semantic web technologies: ready for adoption?,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11824,web4web e-collaboration tools,publication,"{'katedra za racunarsku tehniku i informatiku', 'katedra za softversko inzenjerstvo'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11825,"adaptive middleware for intelligent, context sensitive applications",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11826,semantic classifier for affective computing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11827,semantic approach to knowledge processing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11828,chronic toxicity of the sava river (se europe) sediments and river water to the algae pseudokirchneriella subcapitata,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11829,applying neural networks to knowledge representation and determination of its meaning,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11830,knowledge representation with soul,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11831,integration of knowledge resources in u&amp;d organizations: the case of mihajlo pupin institute,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11832,integration platform for de-centralized investment projects appraisal,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11833,decision support tool for used oil regeneration technologies assessment and selection,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11834,applying connectionist model to natural language understanding,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11835,a web-based decision support tool for groundwater remediation technologies selection,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11836,comparative analysis of commercial knowledge management solutions and their role in enterprises,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11837,semantic web services with soul,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11838,ontology-mediated integration of knowledge resources in r&amp;d organizations,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11839,a natural language processing for semantic web services,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11840,decision aid for sustainable industrial siting,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11841,the role of knowledge management solutions in enterprise business processes,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11842,information technology for cleaner water,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11843,a generic framework for web-based intelligent decision support systems,publication,"{'katedra za racunarsku tehniku i informatiku', 'katedra za softversko inzenjerstvo'}","{'elektrotehnicki fakultet', 'fakultet organizacionih nauka'}"
11844,fides - a financial decision aid that can be trusted,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11845,e-collaboration tool for technology foresight exercise,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11846,a decision support system for holistic technology assessment,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11847,design knowledge representation in prolog/rex,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11848,truth maintenance in blackboard environment,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11849,best-based expert diagnostic system for the aluminum industry,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11850,european robotics and intelligent systems conference,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11851,invex: investment advisory expert system,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11852,best-based diagnostic systems for industrial plants,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11853,expert diagnostic systems for industrial plants: a case study in the aluminum industry,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11854,prolog/rex inference engine,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11855,integrating multiple paradigms within the blackboard framework,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11856,overview of some truth maintenance systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11857,using truth maintenance systems a tutorial,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11858,prolog/rex - a way to extend prolog for better knowledge representation,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11859,a framework for engineering intelligent control systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11860,a blackboard framework on top of prolog,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11861,1992,year,set(),set()
11862,blackboard metaphor in tactical decision making,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11863,different approaches to real-time application allocation to a multiprocessor system,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11864,a heuristic algorithm for real-time application allocation to multimicrocomputer,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11865,use-case driven method of architecture recovery for program understanding and reuse reengineering,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11866,the influence of non-functional requirements in ucp method on the accuracy of effort estimates,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11867,developing algorithmic skills of pupils in serbian schools using code.org materials,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11868,accelerating program execution using hybrid control flow and dataflow architectures,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11869,analysis of task effort estimation accuracy based on use case point size,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11870,knowledge discovery potential in automated test abembly [potencijal tehnike pronalazenja znanja za automatsko sastavljanje testova],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11871,using part-of-speech tags as deep-syntax indicators in determining short-text semantic similarity,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11872,evaluation and classification of syntax information usage in determining short text semantic similarity [evaluacija i klasifikacija koriscenja sintaksnih informacija u odredivanju semanticke slicnosti kratkih tekstova],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11873,automated testing of l-irl robot programming language parser [automatizovano testiranje parsera l-irl jezika za programiranje robota],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11874,a comparative evaluation of effort estimation methods in the software life cycle,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11875,a comparative evaluation of open source tools for multicore and reconfigurable computing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11876,refmap: restructuring by feature mapping,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11877,reverse engineering of use case realizations in uml,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11878,a classification of reverse engineering tools and criteria for their evaluation and selection,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
